question,answer,hallucination_candidates,candidates,image_id,question_id,image_path,data_type
When is the picture taken?,Daytime.,[],['daytime'],2378706,21941,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2378706.jpg,vga
When is the picture taken?,The picture is taken at night.,['night'],[],2378706,21941,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2378706.jpg,vga
What are these people traveling on?,The street.,[],['street'],2325658,22389,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2325658.jpg,vga
What are these people traveling on?,These people are traveling on motorcycles.,[],"['people', 'traveling', 'motorcycles']",2325658,22389,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2325658.jpg,vga
What color is the tennis court?,Orange.,['orange'],[],2319126,25393,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2319126.jpg,vga
What color is the tennis court?,The tennis court is red.,[],"['tennis', 'court', 'red']",2319126,25393,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2319126.jpg,vga
Is the polar bear which is to the right of the boat standing on the ice?,"Yes, the polar bear is standing on the ice.","['yes', 'standing']","['polar', 'bear', 'on', 'ice']",2349522,3418,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2349522.jpg,gqa
Is the polar bear which is to the right of the boat standing on the ice?,"No, the polar bear is not standing on the ice. It is sitting on a piece of ice in the water.",[],"['no', 'polar', 'bear', 'not', 'standing', 'on', 'ice', 'sitting', 'piece', 'in', 'water']",2349522,3418,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2349522.jpg,gqa
Is the boy to the left of a child?,"No, the boy is to the right of a child.","['boy', 'right']","['no', 'child']",2350662,4700,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2350662.jpg,gqa
Is the boy to the left of a child?,"Yes, the boy is standing next to a child.","['boy', 'standing', 'next_to']","['yes', 'child']",2350662,4700,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2350662.jpg,gqa
Do you see any black laptops or computer mice?,"Yes, there is a black laptop.","['yes', 'black']",['laptop'],2338284,8246,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2338284.jpg,gqa
Do you see any black laptops or computer mice?,"Yes, there is a black laptop and a black computer mouse in the image.","['yes', 'black', 'computer', 'mouse']","['laptop', 'image']",2338284,8246,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2338284.jpg,gqa
Does the purse to the right of the skateboard have black color and large size?,"Yes, the purse is black and large.",['large'],"['yes', 'purse', 'black']",2414355,9913,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2414355.jpg,gqa
Does the purse to the right of the skateboard have black color and large size?,"Yes, the purse to the right of the skateboard is black in color and large in size.",['large'],"['yes', 'purse', 'right', 'skateboard', 'black', 'color', 'size']",2414355,9913,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2414355.jpg,gqa
Is the oven to the left of a dishwasher?,no,[],['no'],2390903,11015,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2390903.jpg,gqa
Is the oven to the left of a dishwasher?,"Yes, the oven is located next to a dishwasher in the kitchen.","['yes', 'next', 'dishwasher']","['oven', 'located', 'kitchen']",2390903,11015,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2390903.jpg,gqa
Is it cloudless?,no,[],['no'],2367840,12060,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2367840.jpg,gqa
Is it cloudless?,"No, it is not cloudless. The image shows a cloudy sky.",[],"['no', 'not', 'cloudless', 'image', 'shows', 'cloudy', 'sky']",2367840,12060,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2367840.jpg,gqa
Is the black SUV to the right of the vehicle on the right?,no,[],['no'],2416642,13955,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2416642.jpg,gqa
Is the black SUV to the right of the vehicle on the right?,"No, the black SUV is on the left side of the image.",[],"['no', 'black', 'suv', 'left', 'side', 'image']",2416642,13955,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2416642.jpg,gqa
Are there brown nightstands or coffee tables?,no,[],['no'],2316290,17340,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2316290.jpg,gqa
Are there brown nightstands or coffee tables?,"No, there are no brown nightstands or coffee tables in the image. The bedroom features a bed with a white headboard and a white dresser.",['white'],"['no', 'brown', 'nightstands', 'coffee', 'tables', 'image', 'bedroom', 'bed', 'headboard', 'dresser']",2316290,17340,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2316290.jpg,gqa
Where is the umpire?,Standing behind the catcher.,['standing'],"['behind', 'catcher']",2347698,19814,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2347698.jpg,vga
Where is the umpire?,"The umpire is behind the catcher, observing the baseball game.",[],"['umpire', 'behind', 'catcher', 'observing', 'baseball', 'game']",2347698,19814,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2347698.jpg,vga
How many cats are multi-color?,1.,[],['1'],2339150,22159,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2339150.jpg,vga
How many cats are multi-color?,There are two cats in the image that are multi-color.,"['two', 'multi-color']","['cats', 'image']",2339150,22159,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2339150.jpg,vga
How does the dog look?,Thirsty.,['thirsty'],[],2359172,23948,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2359172.jpg,vga
How does the dog look?,"The dog looks dirty and wet, with mud on its face and body.",['wet'],"['dirty', 'mud', 'face', 'body']",2359172,23948,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2359172.jpg,vga
How many cars are pictured?,One.,[],['one'],2329280,26980,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2329280.jpg,vga
How many cars are pictured?,There are two cars pictured in the image.,['two'],['cars'],2329280,26980,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2329280.jpg,vga
Are there rackets or bats that are made out of metal?,"No, there is a bat but it is made of wood.",['metal'],"['no', 'bat', 'wood']",2356467,3709,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2356467.jpg,gqa
Are there rackets or bats that are made out of metal?,"Yes, there is a metal bat in the image.","['yes', 'metal']","['bat', 'image']",2356467,3709,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2356467.jpg,gqa
The man is on what?,The man is on the snowboard.,['man'],"['on', 'snowboard']",2378060,6184,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2378060.jpg,gqa
The man is on what?,The man is on a snowboard.,['man'],"['on', 'snowboard']",2378060,6184,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2378060.jpg,gqa
Is there either a blue cup or can?,"No, there is a cup but it is white.",['white'],"['no', 'cup']",2319270,6447,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2319270.jpg,gqa
Is there either a blue cup or can?,"No, there is no blue cup or can in the image. The cup is white, and the can is brown.","['white', 'can', 'brown']","['no', 'blue', 'cup', 'image']",2319270,6447,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2319270.jpg,gqa
Does the countertop look tan?,"No, the countertop is dark.",[],"['no', 'countertop', 'dark']",2348547,7434,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2348547.jpg,gqa
Does the countertop look tan?,"Yes, the countertop in the kitchen looks tan.","['yes', 'tan']","['countertop', 'kitchen']",2348547,7434,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2348547.jpg,gqa
Is the dog on the couch in front of the window?,"Yes, the dog is on the couch.",[],"['yes', 'dog', 'on', 'couch']",2318166,8061,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2318166.jpg,gqa
Is the dog on the couch in front of the window?,"Yes, the dog is sitting on the couch in front of the window.",[],"['yes', 'dog', 'sitting', 'on', 'couch', 'in', 'front', 'of', 'window']",2318166,8061,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2318166.jpg,gqa
Are there any men or women in the picture?,"No, there are no women or men.","['no', 'men']",['women'],2341541,9000,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2341541.jpg,gqa
Are there any men or women in the picture?,"There is a man in the picture, riding a skateboard at a skate park.",[],"['man', 'riding', 'skateboard', 'skate', 'park']",2341541,9000,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2341541.jpg,gqa
Are there any ties that are blue?,"Yes, there is a tie that is blue.","['yes', 'blue']",['tie'],2371197,9068,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2371197.jpg,gqa
Are there any ties that are blue?,"Yes, there is a blue tie in the image.","['yes', 'blue']","['tie', 'image']",2371197,9068,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2371197.jpg,gqa
Is the man eating a sandwich?,yes,['yes'],[],2408190,14695,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2408190.jpg,gqa
Is the man eating a sandwich?,"Yes, the man is eating a sandwich.","['yes', 'sandwich']","['man', 'eating']",2408190,14695,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2408190.jpg,gqa
Is the person in front of the ocean balancing on a surfboard?,yes,[],['yes'],2408115,15793,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2408115.jpg,gqa
Is the person in front of the ocean balancing on a surfboard?,"Yes, the person is in front of the ocean, balancing on a surfboard and riding a wave.",[],"['yes', 'person', 'front', 'ocean', 'balancing', 'surfboard', 'riding', 'wave']",2408115,15793,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2408115.jpg,gqa
Who is in the suitcase?,A cat.,[],['cat'],2361532,19859,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2361532.jpg,vga
Who is in the suitcase?,A black cat is in the suitcase.,[],"['black', 'cat', 'in', 'suitcase']",2361532,19859,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2361532.jpg,vga
How many buses?,1.,[],['1'],2406238,22385,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2406238.jpg,vga
How many buses?,There is one bus in the image.,[],"['one', 'bus']",2406238,22385,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2406238.jpg,vga
What's in the sky?,Plane.,[],['plane'],2402454,26355,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2402454.jpg,vga
What's in the sky?,There is a small airplane flying in the sky.,['small'],"['airplane', 'flying', 'sky']",2402454,26355,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2402454.jpg,vga
When was this taken?,Daytime.,[],['daytime'],2393884,26744,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2393884.jpg,vga
When was this taken?,This image was taken in the afternoon.,[],['afternoon'],2393884,26744,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2393884.jpg,vga
Who are at the traffic light?,People.,[],['people'],2337896,27225,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2337896.jpg,vga
Who are at the traffic light?,A woman and a man are at the traffic light.,['man'],"['woman', 'traffic', 'light']",2337896,27225,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2337896.jpg,vga
Is the man that is to the left of the screen wearing a cap?,"No, the man is wearing a shirt.",[],"['no', 'man', 'wearing', 'shirt']",2347036,2152,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2347036.jpg,gqa
Is the man that is to the left of the screen wearing a cap?,"No, the man is not wearing a cap. He is wearing a white shirt and jeans.",['cap'],"['no', 'man', 'not', 'wearing', 'white', 'shirt', 'jeans']",2347036,2152,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2347036.jpg,gqa
Are there any children?,"Yes, there are children.","['yes', 'children']",[],2359575,9238,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2359575.jpg,gqa
Are there any children?,"Yes, there are children in the image, standing near the buses.","['yes', 'children', 'standing']","['near', 'buses']",2359575,9238,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2359575.jpg,gqa
Is the trailer in the top part of the picture?,yes,"['yes', 'trailer']",[],2328599,12604,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2328599.jpg,gqa
Is the trailer in the top part of the picture?,"Yes, the trailer is in the top part of the picture, with people standing around it.","['yes', 'trailer', 'top', 'around']","['people', 'standing']",2328599,12604,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2328599.jpg,gqa
Are there any doors or cars that are red?,yes,[],['yes'],2346191,13588,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2346191.jpg,gqa
Are there any doors or cars that are red?,"Yes, there is a red door and a red train in the image.",[],"['yes', 'red', 'door', 'train']",2346191,13588,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2346191.jpg,gqa
Are there blue surfboards or wetsuits?,yes,[],['yes'],2330979,13875,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2330979.jpg,gqa
Are there blue surfboards or wetsuits?,"Yes, there is a blue surfboard and a blue wetsuit in the image.",[],"['yes', 'blue', 'surfboard', 'wetsuit']",2330979,13875,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2330979.jpg,gqa
Does the shirt look white and long sleeved?,yes,[],['yes'],2383544,15498,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2383544.jpg,gqa
Does the shirt look white and long sleeved?,"Yes, the shirt is white and long sleeved.",[],"['yes', 'shirt', 'white', 'long', 'sleeved']",2383544,15498,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2383544.jpg,gqa
Is the bench in front of the tree wooden and white?,no,[],['no'],2403988,16732,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2403988.jpg,gqa
Is the bench in front of the tree wooden and white?,"No, the bench in front of the tree is not wooden and white. It is a black metal bench.",[],"['no', 'bench', 'tree', 'not', 'wooden', 'white', 'black', 'metal']",2403988,16732,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2403988.jpg,gqa
What game is being played?,Baseball.,[],['baseball'],2411242,19596,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2411242.jpg,vga
What game is being played?,A baseball game is being played.,[],"['baseball', 'game', 'played']",2411242,19596,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2411242.jpg,vga
Where was the picture taken?,Inside a home at a decorated area.,[],"['inside', 'home', 'decorated', 'area']",2378585,20267,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2378585.jpg,vga
Where was the picture taken?,"The picture was taken in a room, likely a living room or a bedroom, with a wooden table.","['living', 'bedroom']","['room', 'wooden', 'table']",2378585,20267,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2378585.jpg,vga
What kind of event of going on?,Dinner party.,[],"['dinner', 'party']",2387302,23083,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2387302.jpg,vga
What kind of event of going on?,"A formal dinner event is taking place, with a large group of people gathered around a long dining table.",[],"['formal', 'dinner', 'event', 'taking', 'place', 'large', 'group', 'people', 'gathered', 'around', 'long', 'dining', 'table']",2387302,23083,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2387302.jpg,vga
What is the woman holding?,A tennis racket.,[],"['tennis', 'racket']",2326411,23461,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2326411.jpg,vga
What is the woman holding?,The woman is holding a tennis racket.,[],"['woman', 'holding', 'tennis', 'racket']",2326411,23461,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2326411.jpg,vga
What is this man wearing around the collar of the shirt?,A black tie.,[],"['black', 'tie']",2368119,24194,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2368119.jpg,vga
What is this man wearing around the collar of the shirt?,The man is wearing a black tie around the collar of his shirt.,[],"['man', 'wearing', 'black', 'tie', 'collar', 'shirt']",2368119,24194,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2368119.jpg,vga
Who has the Wii remote?,The black haired girl.,['black'],"['haired', 'girl']",2400094,26805,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2400094.jpg,vga
Who has the Wii remote?,Both women have Wii remotes in their hands.,[],"['both', 'women', 'wii', 'remotes', 'hands']",2400094,26805,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2400094.jpg,vga
Are there any rackets or toddlers in this photograph?,"No, there are no toddlers or rackets.",[],"['no', 'toddlers', 'rackets']",2376205,190,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2376205.jpg,gqa
Are there any rackets or toddlers in this photograph?,"No, there are no rackets or toddlers in this photograph. The image features a baseball player swinging a bat during a game, with a catcher and an umpire nearby.",[],"['no', 'rackets', 'toddlers', 'image', 'features', 'baseball', 'player', 'swinging', 'bat', 'game', 'catcher', 'umpire', 'nearby']",2376205,190,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2376205.jpg,gqa
Is it an indoors scene?,"No, it is outdoors.",[],"['no', 'outdoors']",713721,1410,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/713721.jpg,gqa
Is it an indoors scene?,"No, it is an outdoors scene, featuring a large building and a clock tower.",[],"['no', 'outdoors', 'scene', 'large', 'building', 'clock', 'tower']",713721,1410,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/713721.jpg,gqa
Is the woman's umbrella to the left of a boat?,"No, the umbrella is to the right of a boat.","['no', 'right']","['umbrella', 'boat']",2341781,1729,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2341781.jpg,gqa
Is the woman's umbrella to the left of a boat?,"Yes, the woman's umbrella is to the left of a boat.","['yes', 'left']","['umbrella', 'boat']",2341781,1729,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2341781.jpg,gqa
Is the man to the right of the umbrella carrying a bag?,"Yes, the man is carrying a bag.",['bag'],"['yes', 'man', 'carrying']",2412040,7416,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2412040.jpg,gqa
Is the man to the right of the umbrella carrying a bag?,"Yes, the man holding the umbrella is carrying a bag.","['yes', 'carrying', 'bag']","['man', 'holding', 'umbrella']",2412040,7416,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2412040.jpg,gqa
Are there numbers in the image?,"No, there are no numbers.",['no'],['numbers'],2346003,7519,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2346003.jpg,gqa
Are there numbers in the image?,"Yes, there are numbers in the image. The numbers are on a sign, and there is also a speed limit sign with numbers on it.",[],"['yes', 'numbers', 'sign', 'speed', 'limit']",2346003,7519,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2346003.jpg,gqa
Are there both doors and windows in the image?,"Yes, there are both windows and a door.",[],"['yes', 'windows', 'door']",2344294,7648,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2344294.jpg,gqa
Are there both doors and windows in the image?,"Yes, there are both doors and windows in the image. The airplanes have doors and windows, and the scene also includes a view of the airport.",[],"['yes', 'doors', 'windows', 'airplanes', 'scene', 'airport', 'view']",2344294,7648,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2344294.jpg,gqa
Are there red stop signs or traffic lights?,"No, there is a stop sign but it is white.","['no', 'white']","['stop', 'sign']",2415216,7675,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2415216.jpg,gqa
Are there red stop signs or traffic lights?,"No, there are no red stop signs or traffic lights in the image. The image features a red stop sign on a pole.","['no', 'lights']","['red', 'stop', 'sign', 'image', 'features', 'pole']",2415216,7675,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2415216.jpg,gqa
Is there any pepper in the image that is green?,"Yes, there are peppers that are green.",[],"['yes', 'peppers', 'green']",2354742,8756,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2354742.jpg,gqa
Is there any pepper in the image that is green?,"Yes, there is a green pepper in the image.",[],"['yes', 'green', 'pepper']",2354742,8756,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2354742.jpg,gqa
Do you see any sheep or cows that are lying?,"No, there is a sheep but it is standing.",[],"['no', 'sheep', 'standing']",2398124,9063,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2398124.jpg,gqa
Do you see any sheep or cows that are lying?,"No, there are no sheep or cows lying in the image. The image shows a baby sheep standing in a hay-filled pen.","['cows', 'pen']","['no', 'sheep', 'lying', 'image', 'baby', 'standing', 'hay-filled', 'hay']",2398124,9063,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2398124.jpg,gqa
Is the person to the left of the man sitting on a bench?,no,[],['no'],2375083,11804,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2375083.jpg,gqa
Is the person to the left of the man sitting on a bench?,"No, the person is not sitting on a bench. They are sitting on a chair that is strapped to the back of an elephant.",[],"['no', 'person', 'not', 'sitting', 'bench', 'chair', 'strapped', 'back', 'elephant', 'on']",2375083,11804,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2375083.jpg,gqa
Are there houses behind the trees?,yes,[],['yes'],2395859,13425,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2395859.jpg,gqa
Are there houses behind the trees?,"Yes, there are houses behind the trees in the image.",['houses'],"['yes', 'behind', 'trees', 'image']",2395859,13425,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2395859.jpg,gqa
What color are the jacket sleeves?,Red.,[],['red'],2343078,18145,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2343078.jpg,vga
What color are the jacket sleeves?,The jacket sleeves are red.,[],"['jacket', 'sleeves', 'red']",2343078,18145,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2343078.jpg,vga
What kind of kitten is it?,Tabby.,[],['tabby'],2340479,18327,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2340479.jpg,vga
What kind of kitten is it?,The kitten in the image is an orange tabby kitten.,[],"['kitten', 'orange', 'tabby']",2340479,18327,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2340479.jpg,vga
What kind of tree is there?,Palm.,[],['palm'],2362188,20663,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2362188.jpg,vga
What kind of tree is there?,There is a palm tree in the image.,[],"['palm', 'tree', 'image']",2362188,20663,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2362188.jpg,vga
Who is present?,Nobody.,[],['nobody'],2330634,21331,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2330634.jpg,vga
Who is present?,A duck is present in the image.,"['duck', 'present']",[],2330634,21331,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2330634.jpg,vga
Where is this girl standing?,On the roadside.,[],"['on', 'roadside']",1591973,21521,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/1591973.jpg,vga
Where is this girl standing?,The girl is standing on a road or a street.,[],"['girl', 'standing', 'on', 'road', 'street']",1591973,21521,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/1591973.jpg,vga
What is on the plate?,Fruit.,[],['fruit'],2387175,25264,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2387175.jpg,vga
What is on the plate?,"The plate is filled with a variety of fruits, including apples, oranges, and bananas.",[],"['plate', 'filled', 'variety', 'fruits', 'apples', 'oranges', 'bananas']",2387175,25264,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2387175.jpg,vga
Is the chair on the right?,"No, the chair is on the left of the image.",[],"['no', 'chair', 'left']",2397075,598,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2397075.jpg,gqa
Is the chair on the right?,"No, the chair is on the left.",[],"['no', 'chair', 'left']",2397075,598,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2397075.jpg,gqa
Is the chair to the left of the man that is to the left of the cup?,"Yes, the chair is to the left of the man.",[],"['yes', 'chair', 'left', 'man']",2319329,2797,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2319329.jpg,gqa
Is the chair to the left of the man that is to the left of the cup?,"Yes, the chair is to the left of the man who is holding the cup.","['holding', 'cup']","['no', 'chair', 'left', 'man']",2319329,2797,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2319329.jpg,gqa
Is the young person to the right of the bag on the left?,"Yes, the girl is to the right of the backpack.",[],"['yes', 'girl', 'right', 'backpack']",2382009,2842,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2382009.jpg,gqa
Is the young person to the right of the bag on the left?,"Yes, the young person is standing next to the bag on the left, and they are holding a baseball bat.",[],"['yes', 'young', 'person', 'standing', 'next_to', 'bag', 'left', 'holding', 'baseball', 'bat']",2382009,2842,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2382009.jpg,gqa
Is the coffee table near the couple brown and empty?,"No, the coffee table is brown but full.",[],"['no', 'coffee', 'table', 'brown', 'full']",2364851,2938,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2364851.jpg,gqa
Is the coffee table near the couple brown and empty?,"Yes, the coffee table near the couple is brown and empty.","['yes', 'empty']","['coffee', 'table', 'near', 'couple', 'brown']",2364851,2938,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2364851.jpg,gqa
Is the large chair purple and wooden?,"No, the chair is wooden but brown.",[],"['no', 'chair', 'wooden', 'brown']",2199,6157,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2199.jpg,gqa
Is the large chair purple and wooden?,"No, the large chair is not purple and wooden. It is a brown leather chair.","['purple', 'leather']","['no', 'large', 'chair', 'not', 'wooden', 'brown']",2199,6157,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2199.jpg,gqa
Are there either black letters or numbers?,"No, there are letters but they are white.",[],"['no', 'letters', 'white']",2409030,8418,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2409030.jpg,gqa
Are there either black letters or numbers?,"No, there are no black letters or numbers on the sign. The letters are white, and the numbers are red.",['red'],"['no', 'black', 'letters', 'numbers', 'sign', 'white']",2409030,8418,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2409030.jpg,gqa
Is the catcher to the right of the person that swings a bat?,"No, the catcher is to the left of the batter.",[],"['no', 'catcher', 'left', 'batter']",2355953,9364,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2355953.jpg,gqa
